ending1,ending2,labels,startphrase,instruction_column
Perbuatanmu berdosa.,Perbuatanmu tidak ada yang salah.,1,Perbuatanmu itu sudah seperti seorang kristian yang merayakan natal.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Perbuatanmu itu sudah seperti seorang kristian yang merayakan natal., Options: 0) Perbuatanmu berdosa. 1) Perbuatanmu tidak ada yang salah."
Hidup itu sulit.,Hidup itu mudah.,0,Hidup adalah perjuangan mencari jarum di tumpukan jerami.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hidup adalah perjuangan mencari jarum di tumpukan jerami., Options: 0) Hidup itu sulit. 1) Hidup itu mudah."
Hidup itu sulit.,Hidup itu mudah.,1,Hidup adalah perjuangan membersihkan hati mata.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Hidup adalah perjuangan membersihkan hati mata., Options: 0) Hidup itu sulit. 1) Hidup itu mudah."
Kesabaranmu panjang.,Kesabaranmu pendek.,0,Kesabaranmu bagaikan jalur kereta api Anyer-Panarukan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kesabaranmu bagaikan jalur kereta api Anyer-Panarukan., Options: 0) Kesabaranmu panjang. 1) Kesabaranmu pendek."
Kesabaranmu panjang.,Kesabaranmu pendek.,1,Kesabaranmu bagaikan rambut bondol polwan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kesabaranmu bagaikan rambut bondol polwan., Options: 0) Kesabaranmu panjang. 1) Kesabaranmu pendek."
Alur cerita buku ini dalam.,Alur cerita buku ini dangkal.,0,Alur cerita buku ini sedalam samudera Hindia.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alur cerita buku ini sedalam samudera Hindia., Options: 0) Alur cerita buku ini dalam. 1) Alur cerita buku ini dangkal."
Alur cerita buku ini dalam.,Alur cerita buku ini dangkal.,1,Alur cerita buku ini sedalam selokan sebelah rumahku.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Alur cerita buku ini sedalam selokan sebelah rumahku., Options: 0) Alur cerita buku ini dalam. 1) Alur cerita buku ini dangkal."
Tulisanmu rapi.,Tulisanmu berantakan.,0,Tulisanmu sudah seperti lemari baju Marie Kondo.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tulisanmu sudah seperti lemari baju Marie Kondo., Options: 0) Tulisanmu rapi. 1) Tulisanmu berantakan."
Tulisanmu rapi.,Tulisanmu berantakan.,1,Tulisanmu sudah seperti hasil gambar anak TK.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tulisanmu sudah seperti hasil gambar anak TK., Options: 0) Tulisanmu rapi. 1) Tulisanmu berantakan."
Pengalamanmu itu berharga.,Pengalamanmu itu tidak berharga.,0,Pengalamanmu itu ibarat lukisan Van Gogh.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pengalamanmu itu ibarat lukisan Van Gogh., Options: 0) Pengalamanmu itu berharga. 1) Pengalamanmu itu tidak berharga."
Pengalamanmu itu berharga.,Pengalamanmu itu tidak berharga.,1,Pengalamanmu itu ibarat kertas bungkus gorengan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pengalamanmu itu ibarat kertas bungkus gorengan., Options: 0) Pengalamanmu itu berharga. 1) Pengalamanmu itu tidak berharga."
Pernikahan itu suci.,Pernikahan itu profan.,0,Pernikahan adalah sajadah tempat kita beribadah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pernikahan adalah sajadah tempat kita beribadah., Options: 0) Pernikahan itu suci. 1) Pernikahan itu profan."
Pernikahan itu suci.,Pernikahan itu profan.,1,Pernikahan adalah air liur anjing.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Pernikahan adalah air liur anjing., Options: 0) Pernikahan itu suci. 1) Pernikahan itu profan."
Putus cinta itu perih dan menyakitkan.,Putus cinta itu manis dan menyenangkan.,0,Putus cinta ibarat teriris pisau saat mengupas mangga muda.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Putus cinta ibarat teriris pisau saat mengupas mangga muda., Options: 0) Putus cinta itu perih dan menyakitkan. 1) Putus cinta itu manis dan menyenangkan."
Putus cinta itu perih dan menyakitkan.,Putus cinta itu manis dan menyenangkan.,1,Putus cinta ibarat mengigit apel ranum yang baru dipetik.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Putus cinta ibarat mengigit apel ranum yang baru dipetik., Options: 0) Putus cinta itu perih dan menyakitkan. 1) Putus cinta itu manis dan menyenangkan."
Perasaanku saat ini bahagia.,Perasaanku saat ini sedih.,0,Perasaanku saat ini seperti anak TK yang dibelikan es krim oleh ibunya.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Perasaanku saat ini seperti anak TK yang dibelikan es krim oleh ibunya., Options: 0) Perasaanku saat ini bahagia. 1) Perasaanku saat ini sedih."
Perasaanku saat ini bahagia.,Perasaanku saat ini sedih.,1,Perasaanku saat ini seperti karyawan yang mendapatkan surat pemecatan dari bosnya.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Perasaanku saat ini seperti karyawan yang mendapatkan surat pemecatan dari bosnya., Options: 0) Perasaanku saat ini bahagia. 1) Perasaanku saat ini sedih."
Tas yang dia beli mahal.,Tas yang dia beli murah.,0,Tas yang dia beli seharga uang makanku tiga bulan.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tas yang dia beli seharga uang makanku tiga bulan., Options: 0) Tas yang dia beli mahal. 1) Tas yang dia beli murah."
Tas yang dia beli mahal.,Tas yang dia beli murah.,1,Tas yang dia beli seharga uang parkir Indomaret.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tas yang dia beli seharga uang parkir Indomaret., Options: 0) Tas yang dia beli mahal. 1) Tas yang dia beli murah."
Sepatunya langka.,Sepatunya pasaran.,0,Sepatunya sudah seperti badak bercula satu.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sepatunya sudah seperti badak bercula satu., Options: 0) Sepatunya langka. 1) Sepatunya pasaran."
Sepatunya langka.,Sepatunya pasaran.,1,Sepatunya sudah seperti burung gereja di halaman sekolah.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sepatunya sudah seperti burung gereja di halaman sekolah., Options: 0) Sepatunya langka. 1) Sepatunya pasaran."
Mengerjakan skripsi sulit dan menderita.,Mengerjakan skripsi mudah dan menyenangkan.,0,Mengerjakan skripsi adalah perjalanan di atas serpihan kaca.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mengerjakan skripsi adalah perjalanan di atas serpihan kaca., Options: 0) Mengerjakan skripsi sulit dan menderita. 1) Mengerjakan skripsi mudah dan menyenangkan."
Mengerjakan skripsi sulit dan menderita.,Mengerjakan skripsi mudah dan menyenangkan.,1,Mengerjakan skripsi adalah perjalanan di atas karpet bulu.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mengerjakan skripsi adalah perjalanan di atas karpet bulu., Options: 0) Mengerjakan skripsi sulit dan menderita. 1) Mengerjakan skripsi mudah dan menyenangkan."
